model,weight_type,alpha,accuracy,loss,is_extrapolation
vgg11,nat_scratch,0.35,14.06,4.65408,True
vgg11,nat_scratch,0.4,8.87,5.12993,True
vgg11,nat_scratch,0.5,4.07,5.547444,True
vgg11,nat_scratch,0.6,1.98,5.663872,True
vgg11,nat_finetune,-0.6,3.84,51.256551,True
vgg11,nat_finetune,-0.5,6.69,30.859764,True
vgg11,nat_finetune,-0.4,12.69,17.315268,True
vgg11,nat_finetune,-0.35,17.87,12.513664,True
vgg11,nat_finetune,-0.3,25.21,8.826687,False
vgg11,nat_finetune,-0.2,43.52,4.222282,False
vgg11,nat_finetune,-0.1,59.84,2.197923,False
vgg11,nat_finetune,0.0,67.12,1.550347,False
vgg11,nat_finetune,0.1,62.46,1.690881,False
vgg11,nat_finetune,0.2,42.91,2.663372,False
vgg11,nat_finetune,0.3,19.8,4.277332,False
vgg11,nat_finetune,0.35,12.01,4.918832,True
vgg11,nat_finetune,0.4,7.61,5.318552,True
vgg11,nat_finetune,0.5,2.85,5.643917,True
vgg11,nat_finetune,0.6,1.42,5.757253,True
resnet18,clean,-0.6,1.04,230.479567,True
resnet18,clean,-0.5,1.23,108.406555,True
resnet18,clean,-0.4,1.9,52.00116,True
resnet18,clean,-0.35,2.38,37.064529,True
resnet18,clean,-0.3,3.25,26.633385,False
resnet18,clean,-0.2,9.25,12.31873,False
resnet18,clean,-0.1,45.74,3.475682,False
resnet18,clean,0.0,72.09,1.399576,False
resnet18,clean,0.1,51.8,2.611728,False
resnet18,clean,0.2,10.51,6.902612,False
resnet18,clean,0.3,2.7,8.327652,False
resnet18,clean,0.35,1.82,8.121819,True
resnet18,clean,0.4,1.23,7.808439,True
resnet18,clean,0.5,1.0,7.14788,True
resnet18,clean,0.6,1.0,6.495855,True
resnet18,nat_scratch,-0.6,0.97,155.92241,True
resnet18,nat_scratch,-0.5,1.21,78.298169,True
resnet18,nat_scratch,-0.4,1.45,41.381847,True
resnet18,nat_scratch,-0.35,1.73,29.93337,True
resnet18,nat_scratch,-0.3,2.65,21.169382,False
resnet18,nat_scratch,-0.2,13.95,8.801575,False
resnet18,nat_scratch,-0.1,53.55,2.713829,False
